ratingValue,location,year,processedTitle,processedArticle,polarity,Sentiment
1,united states,2023,clearly care,ground crew heathrow left passenger luggage bag heathrow ground crew left behind st two received next day heathrow ground crew lost rd bag time phone hr course week due spend $ health beauty item wife cruise said might reimburse month spend $ cab fare barcelona bacelona ground crew ( iberia ) claimed delivered u heathrow ground crew made u minute late arriving back heathrow cruise actually landed minute early incompetent people still ready u heathrow ground crew caused u leave minute late even though passenger boarded ready minute departure time probably mean miss connection anchorage clearly care know operate ground baseshameful joke embarrassed cant operate like normal airline grasp concept even small hiccup cause mass ripple chaos people,-0.07573529411764707,Negative
6,united kingdom,2023,reflect downward trend airline,london heathrow gibraltar th october shall start reference booking process used website reserve seat food website easy use clear every aspect flight due depart terminal passenger bussed good minute different part airport aircraft stand boarding flight cabincrew kept low profile maintained entire flight captain made brief announcement flight inflight entertainment seat clean comfortable enough short flight lack catering overt tiny bottle water inedible breakfast bar one use online system order even drink course pay passenger next could use online system doe seem work cabin refused sell coffee fault moreover usb charge point work either given early hour flight poor show even sale item available trolley service system place good enough flight arrived ontime disembarkation inefficient though poorly managed crew seen crew wearing new uniform seems reflect downward trend airline candid difference service socalled budget rival route monopoly option use service different company,0.1309288537549407,Positive
8,united states,2023,one better flight,first time flying would hesitate fly economy flight attendant pleasant efficient excellent special meal ( low sodium ) comfortable space economy one better flight,0.4711640211640212,Positive
4,united kingdom,2023,inflight service usually weak,using average say pretty satisfied somehow experience cancellation delay time second inflight service usually weak food portion small cabin crew helpful especially come drink request screen renewed full scratch size especially longer flight entertainment system becomes important also welcome package except pillow small blanket would expect flying u anywhere except uk would recommend considering airline flying tofrom uk directly could one choice,0.10576923076923077,Positive
1,united kingdom,2023,customer service disgrace,flew istanbul london business class half flight child watching ipad loud phone plugged three row front disrupted flight could hear headphone staff thought fine refused tell mom turn acceptable flight especially business class airline turned zoo staff given training customer service child allowed disrupt passenger told staff laughed customer service disgrace even mentioned food bad really bad,-0.04999999999999995,Negative
1,united kingdom,2023,gave fullservice airline,flight departed hour late due late inbound plane plane full half economy class passenger forced check larger cabin baggage gate boarding making complete mockery hand luggage allowance advertised lot passenger board stressed missing onwards connection due delay ( miss next gate closed time disembarked heathrow ) onboard service ok minimal gave fullservice airline time ago concerning trying get hold customer service make change booking deal problem nonexistent airline seems make deliberately hard customer contact,-0.07055555555555555,Negative
1,united states,2023,hate,hate get london oct next flight cancelled stand line people get fixed tell everyone leave airport call fix book u next dayvia online offer voucher hotel miss tour trying get home istanbul plane started loading hour ago explanation may miss next flight never travel problem april flight,-0.14,Negative
5,united kingdom,2023,½ hour bag finally arrived,flight porto london heathrow operated finnair using finnair plane crew advised shortly booking option change flight preferred although business class cabin similar layout club europe ie middle seat kept free wife felt seat comfortable legroom slightly better service good board meal tasty ( chose beef cheek ) good landed heathrow although passed passport control without delay designated baggage reclaim waited waited hour ten minute went baggage counter ask going seemed unaware issue said would find next hour various passenger also requested information despite various announcement list different excuse almost ½ hour bag finally arrived frustrating say least subsequently complained week explanation automated message customer service ‘ experiencing exceptionally high volume response say lot,0.09050000000000001,Positive
3,united kingdom,2023,left nobody care,customer service ( call centre etc ) atrocious sometimes callous care long wait speak anybody power actually solve anything call cut halfway without resolution anyway flight cancelled ( original one ) really left nobody care onboard service soso short haul semilow cost confusing never know expect time given bottle water ( ) small snack whilst anything else paid yet flight apparently preorder additional food confusing make dependable cabin baggage theory generous compared competitor economy asked half passenger flight check cabin baggage gate due lack space overhead cabin leading long boarding delay whole offering thought well usb power supply work throughout flight ( contrary announcement power available seatbelt sight turned ) pointless providing socket first place first choice airline route trying use avios point totally abandon fail see deemed star airline,-0.05833333333333335,Negative
5,united kingdom,2023,club europe simply joke,frequent flyer last year noted rating given frankly understand score three star aspect service nutshell placed profit margin passenger appreciation fact hammered home return leg club europe quite alarmingly appears place profit passenger safety extending business class seating beyond emergency exit row failing ensure seated exit row physical capacity actually open door incase emergency reassured see elderly slightly built woman seated responsibility opening overwing exit need arisen shorthaul business ( club europe ) simply joke useful gaining valuable tier point loungepreboarding benefit cabin crew service excellent lack space reduction refreshment choice etc place million airmiles behind competing airline qatar turkish emirate understand true definition customer appreciation hospitality consistently eroded value executive club seems impression recent change obtaining avios point booking process benefit passenger really want support enjoy flying point started penny pinching became deserving name budget attached photo taking recent itinerary highlight difference customer careappreciation another airline used trip flight around hour duration day guess one show ba inflight offering,0.14901960784313725,Positive
1,australia,2023,sort medieval torture,downgraded business premium economy took three month get back offered pound aud difference business class premium economy ( never fly ) $ aud difference economy business $ aud owe least pound fair pound downgrade insulting incredibly painful recent cancer operation back injury pointed need lie wait get around numbing insult offer slap face continue degradation people dealt airport earth honest hard working people actual staff plane warm friendly helpful system operates sort medieval torture,-0.029761904761904774,Negative
1,united kingdom,2023,never,already delayed aircraft landed apart small logo rear fuselage indication carrier really boarding turned farce passenger group told wait one queue order board informed wrong place boarding allowed yet interior cabin reminiscent cabin twenty year earlier except tight legroom uncomfortable seating made budget airline feel luxurious crew unknown charter company service slow usual choice food purchase ran theyd reached row requested cup tea never appeared thank goodness airport purchased water tiny offering pretzel officious senior flight attendant whod facilitating club europe appeared economy immediately slammed armrest ( whilst still mid flight ) making already uncomfortable journey feel worse cattle class definitely say happy land disembark understatement never never,-0.12103174603174599,Negative
2,united kingdom,2023,gatwick,caught gatwick cancellation fiasco ; point smooth check ( unable online part group travel ) security flight cancelled ; ( denied entry security departure result ) point discovered gatwick masquerade unable help provide little assistance unless real provide information even though baggage airside clue could get back however thanks supervisor business class check came assistance help predicament baggage retrieval information claim revised flight lhr following evening ( difficult give rating cabin service even board aircraft ),-0.09861111111111111,Negative
1,united kingdom,2023,boarding flight took hour,real problem boarding flight get first fill luggage bin bag one supposed small seat cabin staff bother implementing rule subsequent passenger mill aisle bumping searching space boarding flight took hour result nonsense incoming flight late already minute flight minute late,-0.06666666666666667,Negative
1,united states,2023,luggage soaking wet,connecting flight london glasgow canceled forced wait hour airport new flight received luggage glasgow discovered luggage soaking wet wife luggage content wet air dried,-0.11272727272727275,Negative
1,australia,2023,worst airline ever flown,worst airline ever flown allocated back row next toilet galley chance getting sleep question asked possible seat movement ignored getting bumped entire time cabin crew walking pushing kart aisle without one apology would better sitting luggage compartment,-0.07619047619047621,Negative
10,united kingdom,2023,excellent service level,excellent service level proactive crew superb food beverage found aspect service superior business class even new club suite first class felt exclusive dedicated crew clearly used working premium cabin enjoying work proactive friendly respectful food beverage offering considerable step business class seat sliding double door spacious well designed comfortable offered solid first class service concorde lounge boarding ( actually group number change ) warm genuine welcome boarding consistent solid comfortable service start finish price right would hesitate book first class,0.36074251835121407,Positive
2,united kingdom,2023,standard continue decline,standard continue decline every time fly time min late departure seems norm information rude clueless boarding gate staff club lounge overcrowded dirty grubby cleaning staff could cope many cutback going apply become truly low cost year veteran user people complained alex cruz cutting cost past year seen decline quickly latest ceo one read occasional article improving thing yet see anything substantive seem staff left amongst cabin crew maybe time name change give flag carrier status proper lowcost sadly staff service declined year year onboard catering remains poor surprised & co produce rubbish meal sampled turkish airline equivalent august superb guessing tight budget onboard wifi service joke avoided,-0.026428571428571412,Negative
3,united kingdom,2023,reliable airline,reliable airline trust timing flight boarding time sitting plane already ( hour ) expected departure still clear discovered engine working risking late business meeting geneva come bring working plane gate funny thing another business trip spring also amsterdam arrived airport time told seat put next flight several hour get business meeting late still much lot stress end second plane sitting cabin hour missed meeting thought dramatic unlucky case time today see routine fly time,0.01969696969696971,Positive
1,united kingdom,2023,national disgrace,take comfort reading last ten review see traveller put word absolutely abysmal reason stuck using awful airline use point booked club europe month ago london athens sat row told run food option choice lentil pie green curry returning athens london club europe check online promised arrived airport hr early told overbooked flight basically bumped economy airline fails deliver time time national disgrace implore everyone choose alternative,-0.19999999999999998,Negative
3,italy,2023,worst journey life,worst journey life connection time lhr hour flight mxp delay rush change terminal train arrived risking heart attack plane stayed another minute despite upon arrival sjc baggage lost filled form gave employee given receipt reference number phone number sjc simply never answer called twice toll free number realized record delivery address enter online dealing shitty website delivered baggage three day later claimed compensation online buy clothes stuff never get receipt expecting upgrade flight back mxp nothing happened neither allowed enter lounge sjc bad customer service positive side price obviously justify treatment knew would never flown never,-0.07474747474747473,Negative
4,united states,2023,disappointed,airplane lounge worn old broken dallas heathrow multiple first class seating electronics non functional poorly designed first class seating heathrow dubrovnik nothing tray blocking middle seat standard coach ticket disappointed,-0.10555555555555557,Negative
1,united kingdom,2023,service shockingly bad,one worst experience worst airline flight delayed due earlier technical issue time slipped finally cancelled zero information given despite paying well odds business class booted lounge two hour flight finally cancelled staff without explanation told everyone go gate another hour made u enter uk via passport control minute wait airport closing sign bag help passing gatwick engineer finally helped u locate bag completely washed hand u contravention caa rule refused find u accommodation many slept bus stop overnight people young child find somewhere stay yet closed left following day replacement flight also late due admin mistake catering liquid hr flight overall service shockingly bad worst experienced airline ever use,-0.1425,Negative
1,united kingdom,2023,never fly,cancelled flight lastminute moved u onto flight day later operated japan airline paid lot extra extra legroom seat tall assigned middle seat deep middle plane operated different airline booked neither airline could change seat phone despite seat available hour waiting queue sitting hold solution arrive early airport seat already given away free people booked directly airline could check online got £ meal voucher compensation enormous downgrade hour flight never fly would rather fly indirect better airline use disgrace airline,0.12666666666666665,Positive
1,united states,2023,never fly awful airline,flight miami florida dublin ireland via london heathrow airport outbound flight miami delayed delayed gate occupied arrived heathrow total delay roughly hour enough make connection challenge minute original arrival time departure time dublin headed connection flight stopped security personnel checkpoint told u gate connection flight already closed twenty minute prior departure time ushered u customer service rebooked given busy weekend travel rebooked flight different airport told cost get would reimbursed waited hour luggage took cab london city airport cab fare roughly $ filed claim refused claim told plenty time make connecting flight therefore denied claim reimbursed cab fare explained employee ushered u rebook flight despite minute timeframe make connecting flight person rebooked u told u policy close gate minute prior departure never fly awful airline given feedback site appears overwhelming sentiment,-0.05576923076923078,Negative
1,united states,2023,ill never fly,started day prague flight actually left time came find thats unusual purchased business class seat see picture hardly business class block middle seat first row called business class horrible flight addition really rude rude check clerk basically yell excused asked could give little bit priority many business class passenger served got heathrow real fun began hour delay gave u different excuse delay employee walk away asking question rude one point employee left announcement seems virtually every flight delayed weather issue place comfortably store item business class never experienced even cup holder bottle water seat control work well keep pushing button get anything power outlet work internet entire flight overhead luggage bin heavy almost got hernia close horrible airline ill never fly could give zero star would,-0.1422348484848485,Negative
1,united kingdom,2023,worst worst,fly weekly want route option therefore frankly care customer flight always delayed always someone el fault weather delay incoming aircraft flight traffic control issue heard life understand allowed operate around world traveled world airline really worst worst shame watched used good company fall cliff advice option fly anyone else exercise option flying different connection tight schedule expect get destination time,0.01734693877551021,Positive
6,united kingdom,2023,club europe feel premium,check security clearance quick lhr wife used gallery north lounge easy get seat good buffet breakfast option flight boarded time flight departed time seated club europe seat seem getting smaller legroom ( ft ) tight cabin crew service fine chose full english breakfast ok lot water bottom bowl flight landed time overall ok flight club europe feel premium day,0.2777056277056277,Positive
2,south africa,2023,worst experience,worst experience supposed fly italy september arrived tambo international airport ready check bag ( already checkedin online previous evening boarding pas ready ) counter told offloaded flight connecting flight cancelled information sent regarding beforehand team checkin counter tried get another flight evening flight available manage get another flight following evening lufthansa italy via frankfurt however miss first part trip arrived day half later supposed upon moving flight ask staff whether flight back still valid everything order assured correct fly back south africa september upon checking booking information noticed account first flight ( milan london ) missing booking connecting london johannesburg still spending entire morning customer helpline two different operator picked instance moment proceed give booking reference number call get dropped currently seems like arriving airport monday without flight,0.07192982456140352,Positive
1,canada,2023,worst airline service,daughter denied boarding business class flight madrid heathrow march first leg return flight victoria canada reason given denied boarding check staff counter madrid said agent told u call three hour early flight valid passport many try finally reached phone told call expedia booked flight expedia confirmed bumped flight explanation expedia began long process finding alternative flight next hour numerous call expedia incredibly next available flight day later april almost unbelievable many many try best could even though business class ticket part problem apparently rule allow change routing segment flight nine day delay major problem u miss work daughter missing school received compensation penalty fee reimbursement expense staying nine extra day return began online complaint process submitted supporting document received email reply case reference number nothing sent numerous follow email received reply month later still heard shocking definitely worst airline service received thousand flight many decade patient person first time commented type forum think public made aware extremely poor customer service,0.06041666666666667,Positive
8,united kingdom,2023,service board impeccable,despite boarding usual free lhr group called board whilst passenger agreed check bag gate getting board anyone else however service board impeccable superb crew friendly attentive interacting passenger generally appearing enjoying job like old day best food choice quality seems improved ( beef cheek thankfully ) even club kitchen appears returned old style club seating least better feel le cramped,0.3557692307692307,Positive
1,germany,2023,recommend,flight booked holiday delayed hour wifi available flight food drink basic expensive recommend,-0.033333333333333326,Negative
1,united kingdom,2023,worse low cost carrier,total lack respect customer booked fly frankfurt main london city airport couple hour scheduled departure flight suddenly cancelled without explanation already airport worst thing utter callousness staff showed towards customer ground staff attitude merely third party agent employee therefore quickly washed hand u telling u contact directly via phone wanted help even provide u phone number telling u look bacom abandoned passenger tell u departure heathrow also cancelled meaning would flight frankfurt london day ( although airline still operating route refused rebook u ) reason given cancellation technical reason assistance information provided right due cancellation information help regarding food accommodation help etc attitude literally cancellation nothing problem received email hour later notifying automatically rebooked alternative flight hour later acceptable get back london night rang ba call centre showed high degree callousness % halfhour call spent waiting hold phone cutting half hour meaningful information given point attempt call operator call back line cut ( solid phone signal wifi still standing terminal frankfurt main airport ) even though phone number listed booking contact detail care end arrange return london taking coach hanh airport km away waiting hour booking expensive last minute ticket ryanair stansted least flight operated time got back london worse low cost carrier,-0.023423645320197042,Negative
8,iceland,2023,le premium experience,london heathrow keflavik iceland business class provides unusual business class experience intraeurope flight seating similar airline middle seat vacant little extra space business class cabin extends almost half aircraft make le premium experience every step boarding onboard wifi worked half flight refund worked surprisingly fast service flight good got keflavik time,0.06435185185185184,Positive
8,iceland,2023,good spectacular,mumbai london heathrow business class ageing b aircraft featured older club world flatbed seat comfortable enough storage space around cubicle monitor screen among larger one seen airplane ba new club suite said far superior competing best bclass rival entire business class cabin washroom issue flight since premier section full capacity wifi board fast enough even send video via messaging apps service onboard competent staff lacked warmth food alright biggest plus flight get bombay pm afternoon instead ungodly early morning hour international flight take india airport experience far pleasant time summary provides good spectacular business class product,0.3045454545454545,Positive
2,united kingdom,2023,lie misleading unprofessional service,care support shocking written previously loyal traveller lie misleading unprofessional service told flight cancelled booked next available flight downgraded cabin business premium economy called ask told technical fault original flight suspicion another reason airport check staff said enough crew staff original flight earlier day take money allow book flight would allowed get work doctor first place trust organisation look flying customer,0.07333333333333333,Positive
1,australia,2023,avoid like plague,flying business class pleasure made disaster worst seating configuration imaginable could sane person could jam many seat limited space expect passenger happy seat narrower economy airline must face another person plastic screen raised tv screen size medium sized tablet control behind head sitting position put anything except one small pull draw ground level reached seated accessed sleeping window seat middle seat accessed jump passenger aisle seat seat low hard elderly get whole business class set sick joke eating difficult seat close enough table table flimsy drink fall redeeming feature answer like little comfort avoid like plague,-0.09432539682539683,Negative
1,united kingdom,2023,absolutely care,absolutely care reserved seat change aisle center seat overnight full flight quite awful enquiring lax check agent said sorry nothing onboard flight attendant seemed try finish meal service racing speed meal tray passed proper question choice back clearing tray disappeared rest kitchen hour water run need anything bother call bell simply ignore used like travelling year ago bean counter lowered close lowcost carrier guess staff badly paid terrible attitude service last trip london delta much better poor excuse airline air become,-0.16666666666666663,Negative
1,united states,2023,utter abdication responsibility,recent experience horrendous utter abdication responsibility part arrived jfk ready flight malaga find cancelled zero notice draining hour altercation finally placed different flight nightmare continued landed malaga sans luggage containing essential son wedding thirty agonizing hour later bag showed up—but brandnew ipad special watch nephew missing item merely valuable ; emotional significance made loss even gutwrenching think reputable airline would make amends error despite clear mishandling baggage team refused offer reimbursement even modest amount airline credit customer service ineffective also astonishingly callous response essence fault trusting u belonging poor customer service ; complete disregard basic human decency responsibility numerous opportunity right wrong chose respect time belonging emotional wellbeing avoid cost fail deliver promise also refuse make amends err leaving customer bear brunt incompetence,0.0017857142857142794,Positive
1,united states,2023,express displeasure concern,express displeasure concern regarding flight italy trip effectively ruined failure luggage arrive u coupled length time took eventually reach u ( day ) departure date june flight chicago london june rebooked london rome flight late arrival rome wife forced walk checkin desk reservation wheelchair assist plane never transferred told cabin crew reservation transport also checked baggage ( ) failed make rebooked flight london rome took day deliver bag day deliver wife called baggage claim service daily frequently cut waiting hold hour apple air tag bag sent picture showing exact location baggage claim several time day stated found wife bag needed verify ownership bag described bright pink easily visible tag bright pink bow taking day deliver inexcusable return date july rome london london chicago flight late arrived chicago hour late missing ground transportation home michigan ( hour away ) find hotel stay overnight near chicago july filed expense replacement lost clothing toiletry also food purchased heathrow due flight delay overnight hotel charge chicago week went online asking followup case response retiree fixed income fund ba error honestly say time able reach human courteous attempted help appeared loss,0.08923611111111111,Positive
1,united kingdom,2023,worst europe,flew london malaga august club europe stood around gate b terminal hour staff giving different reason delay late inbound aircraft etc plane boarded sitting hour boarding captain stated changed plane would meal served club europe received one small packet crisp throughout flight effort apologise smelt hot meal pilot heated saw served club europe meal tray cabin crew also warmed pastry ( quick use air freshener front galley ) customer received zilch sent email following morning say sorry nothing else complete utter rip airline already cutting back many thing paid full business class fare receive part onboard meal service expect email sufficient avoid option nowadays worst europe,-0.05777777777777778,Negative
1,germany,2023,customer service horrible,arrived airport hour takeoff time get checked go security etc went without issue relatively early gate one first passenger time boarding opened first business class got called family child disabled people couple minute boarding started call people one one name announcement let anyone anymore fifty people still standing gate let reason said plane short staffed ( later discovered speaking manager flight short staffed also overbooked ) announcement people getting angry let anymore nothing changed everyone sent away connecting flight later day going miss let plane first tried get luggage back receive immediately got hold later thanks airport personnel like everyone going fly plane wanted talk someone since service center frankfurt airport everyone went checkin counter received food voucher single person either able rebook anyones flight get anyone refunded staff said going receive email couple hour option rebook flight get refund waited four hour email airport come today trying call airline help either answer phone hung middle conversation four hour waiting email people flight went back checkin counter get confirmation receive refund new shift personell know happened scanned passport looked flight found system dying fault could attend flight looked like missed everyone standing exactly people counter said could anything later able speak manager many phone call said going take care supposed get email point future able get written confirmation get refunded even several time asking already flew lot time life never ever thing happened many people let plane also customer service horrible able rebook confirm refund way end option get destination would book last minute flight lot money would know ever got backed,0.10854629241726016,Positive
1,united kingdom,2023,appalling customer service,filthy plane cabin staff ok appalling customer service staff care le dealing complaint paid extra club europebusiness class food poor gave wipe clean seat area split could accommodate family really expect pay extra service cancelling booking even mean lose deposit,-0.10958333333333334,Negative
3,united kingdom,2023,standard worse ever,chaos terminal cancellation delay staff give different reason depending ask answer lie sadly airport standard worse ever long past able use covid excuse short haul club europe trip expect little barely even provide cutback covid permanent find alternative carrier route choose rather sadly route monopoly,-0.11562500000000002,Negative
1,united kingdom,2023,unprofessional uncaring,way heathrow airport merely half hour scheduled departure received sm stating flight johannesburg canceled reason given put flight one day later choice offered already airport proceeded check ask caused cancellation ( apparently pilot sick nobody available standby ) could business class checkin desk assistant unsympathetic told u could check bag following day found someone else told u could check hr prior departure waited airport hour checked went back home offered refund told claim extra expense incurred ( train change fee connecting flight zimbabwe loss one night stay expensive safari lodge etc ) offered anything snooty unprofessional uncaring disorganised ( lack ) service avoid find better cheaper option,-0.03917748917748918,Negative
8,united states,2023,nice flight good crew good seat,nice flight good crew good seat food would expect aircraft new style business class seatssuite actual plane new since word part seat broken missing however seat still sat well worked seat also long enough really lay get sleep video system worked great plenty content headphone however cheap feel work particular good layout lot business class seat lot sat forward cabin ( enter aircraft turn left ) cabin quieter part aircraft crew nice entire time need want might one draw back seat traveling couple middle divider open enough really feel like mate traveling together lhr crowded expansive good lounge visit completely time flight,0.21957575757575754,Positive
1,canada,2023,horrible experience,month passed still wasting time team sharing document flight delhi london got delayed december missed connecting flight london heathrow vancouver put u flight hour reaching vancouver told baggage lost horrible experience customer relation person even look detail already shared december january april july,-1.0,Negative
1,denmark,2023,never,june flight cancelled within three hour departure given rebooking next day lost suitcase arrived three day later today th august happened offer rebooking two day trying post claim website work never,0.0,Neutral
4,united kingdom,2023,ravioli pasta dried,ground cabin crew always provide good customer service come catering club class reduced economy flight ravioli pasta dried along edge slice camembert dried bother serving bread roll white olive bread dry wonder whether anyone monitor club class become economy get cry baby noisy child club class glorified soulless bus trip without britishness,0.046666666666666655,Positive
7,united states,2023,great customer service,family flew washington london able secure seat upper deck pretty hefty fee flight unfortunately delayed hr causing u miss connection gatwick turin making lounge open time got airport onboard sat window seat nice luggage bin convenient stuff flight entertainment system work well touchscreen disabled controller quite glitchy hard use could use updating food dinner decent pasta tomato sauce tasted good airline standard seat pretty comfortable flight smooth missed connection stuck behind security hr waiting escort rebooked u flight heathrow milan next day gave u free bus ticket heathrow gave u free hotel room gave u dinner breakfast voucher great customer service,0.19375,Positive
8,united kingdom,2023,cabin crew fantastic,easy check gallery south north lounge packed able get seat stay long b gate lounge much quieter flight boarded smoothly time upper deck old club world seating beginning age little however like large toilet aircraft type cabin crew fantastic one family tech issue seat entertainment system crew worked hard though sadly without success food drink option good entertainment good overall enjoyable flight,0.18806216931216932,Positive
10,united kingdom,2023,superior mainline,good domestic flight operated cityflyer ground service checkin edinburgh airport particularly friendly helpful flight departed time arrived earlier scheduled complimentary drink snack ( albeit tiny ) served generally seems quality cityflyer subsidiary superior mainline flight,0.265625,Positive
1,poland,2023,lost baggage,lost baggage simple situation three week care communication whatsoever connection checkpoint heathrow hr connecting flight last leg trip agent insists checking hand luggage since plane full lose claim arrival airport immediately three week communication whatsoever online status still searching bag update conclusion male effort find missing bag care,0.029999999999999992,Positive
1,united kingdom,2023,leaving two hour late,late boarding led one hour flight leaving two hour late single staff member turned board full flight shortly flight due depart previous announcement delay board captain blamed frankfurt ground staff delaying takeoff clearly late boarding resulted missed departure slot,-0.11413690476190474,Negative
1,united kingdom,2023,flight delayed,usual flight delayed try blame someone inability incapacity delivering sell hire enough personnel fulfil staff demand,-0.125,Negative
10,hong kong,2023,recommend,fantastic flight today cabin crew seat zone best experienced although old style rearfront seating comfortable felt open spacious done great thing menu nice eat breakfast food prearrival meal hkg pm local time left london night dinner offering equally ample delicious inflight entertainment great collection tv current film inflight map first rate previously huge fan hour flight could recommend without reserve flew new suite j class recent delhi london flight enjoyed product ( although felt slightly cramped ) think stepped really comfortable bedding food friendly crew engaged throughout flight best way recommend flight today,0.38237812911725955,Positive
1,united kingdom,2023,bumped due overselling,book online arrived check find bumped due overselling staff available helpful gatwick staff got u bus lhr flight toulouse knock effect car booking sharing rest family able yo board original flight airline legally stopped selling seat twice,0.26999999999999996,Positive
9,iceland,2023,comfortable flight,london heathrow mumbai boeing business class lounge near terminal gate b heathrow outstanding service offering provides u right frame relax boarding departure delayed almost hour flight featured older club world seating best class comfortable enough hear new club suite configuration far superior onboard service outstanding every respect comfortable flight one minor irritant reason aircraft fitted wifi got mumbai civilized time arrive,0.3313388991960421,Positive
6,iceland,2023,good onboard service,keflavík iceland london heathrow business class journey got unpleasant note business class line keflavík long looked like economy class checkin took min get lounge access offered boarding process well handled business class seat club europe product terrible exactly economy middle seat left vacant even get extra pitch made overall product tolerable good onboard service inflight wifi also fact flight leaf convenient midmorning time,-0.08333333333333333,Negative
